ID,references,URI,domain,category,EN,FR,DE,ES,definition_en,definition_native,figures,related,note,ed PACTOLS
esquillement_bulbe,inizan1995 inizan1999 PROBLEMATIC,https://ark.frantiq.fr/ark:/26678/pcrtbtr8mqwg5w,lithic,trace,scarring of the bulb?,esquillement du bulbe,,,"Splinter-like parasite removal visible on the bulb, which was initiated simultaneously with the removal of the flake and from the same point of contact (""esquillement du bulbe"").",,,,scarring not precise enough?,
burin_pan,inizan1995 inizan1999,,lithic,object,burin facet,pan de burin,Stichelfacette,faceta de buril,Surface created by the removal of a burin spall,Négatif créé par l'enlèvement d'une chute de burin,burinfacet_inizan1999.png,burin spall;burin tip;burin blow technique,,
,,,lithic,object,butt (axe or adze),talon (hache ou herminette),,,"Proximal part of the axe or adze head/blade that is used for lashing, in contact with the handle.", ,,,,
butt,,https://ark.frantiq.fr/ark:/26678/pcrt8kh730q66d,lithic,object,butt (flake or blade),talon (éclat ou lame),Schlagflaechenrest,,Part of the striking or pressure platform detached during removal of the flake., ,,,,
,,,lithic,trace,circular posterior line,débord de la ligne postérieure du talon,,,Describes the line delimiting the platform and the ventral face as semi-circular around the point of contact initiating the fracture (area of the Hertzian cone in brittle solids)., ,,,,
,,,lithic,concept,conchoidal fracture,fracture conchoïdale,muscheliger Bruch,,Kind of fracture that is characterised by smooth shell-shaped convex and concave surfaces (hence its name) with the main feature being the presence of a conchoid or bulb., ,,,,
crushing,spry2022,,lithic,trace,crushing,écrasement,,,The crushing (or whitening) corresponds to a loss of matter in the first millimeters of the ventral face around the contact with the hammer., ,,whitening,,
,,,lithic,object,cutting edge (axe or adze),tranchant (hache ou herminette),,, , ,,,,
,,,lithic,object,debitage (artefact category),éclats,,,"Debitage products are flakes resulting from the knapping of a core, i.e. to all flakes in the broader sense of the term : those resulting from preparation, potential tool blanks, and all waste products.", ,,,,
,,,lithic,concept,debitage (process),débitage (processus),Abbau,, , ,,,,
front_grattoir,inizan1995 inizan1999,,lithic,object,endscraper front,front de grattoir,Kratzerstirn,frente de raspador,"A line of retouches on a flake a blade or a bladelet, which form a scraper. Endscraper fronts can be described by adjectives pertaining to characteristics of delineation, of angle and of morphology (Inizan et al 1999: 141)","Ligne de retouches sur un éclat ou une lamelle qui forment un grattoir. Le front d'un grattoir pourra être décrit à l'aide d'un ou plusieurs termes de délinéation, d'inclinaison et de morphologie de retouche (Inizan et al 1995: 148)",,,,
,,,lithic,object,epiphenomenon,épiphénomène,,,Unexpected detachments of flakes during the knapping process, ,,,,
,,,lithic,object,external platform angle,angle de chasse,(äußerer) Schlagwinkel,,Angle between the butt and the dorsal face of the flake / or / Angle between platform and general axis of the flake, ,,,,
,,,lithic,concept,facetting,facettage,Facettierung ,,"Procedure of removing flakes to prepare a preferential striking or pressure platform. This gesture, initiated from the flaking surface, produces flakes of different dimensions on the platform. Described as short (frontal facetting of the platform edge), uni- or bilateral (lateral facetting of one or the two sides of the platform), or extended (facetting of the whole platform).", ,,,,
,,,lithic,object,flake curvature,courbure,Woelbung,,"General profile of the flake, which can be straight or curved (see photos).", ,,,,
,,,lithic,object,flake termination,,Distalende,,"Distal end of the flake : can be described as feather (sharp edge), step (abrupt edge, right-angle break), hinge (rounded or blunt edge), or plunging (thick edge associated with concave distal ventral face).", ,,,,
,,,lithic,trace,flexion fracture,fracture en flexion,,, , ,,,,
,,,lithic,concept,grinding,doucissage(émoussé/écrasement),,,Procedure of grinding the edge of the striking platform by rubbing the overhanging edges. This gesture produces a smooth and soft edge., ,,,,
lancettes,inizan1995 inizan1999,https://ark.frantiq.fr/ark:/26678/pcrtt5shnmxzck,lithic,trace,hackles,lancettes,Lanzettspruenge,,Fracture marks developped radially from the impact point and visible at the margin of a flake's ventral face, ,,,"see ""lancettes"" in Inizan et al.",
,,https://ark.frantiq.fr/ark:/26678/pcrt48nvv6n6b0,lithic,trace,lip,lèvre,Lippe,,"Slight projection of the ridge formed by the butt and the ventral face, in the bulb area. When scarring of the bulb  Lorsqu'un esquillement trop important est présent la description de la lèvre est impossible (NA).", ,,,,
,,,lithic,object,lipped flakes,éclats à lèvre débordante,,,bending initiation of the fracture, ,,,,
,,,lithic,object,longitudinal convexity (about a core),carène (d'un nucléus),,, , ,,,,
,,,lithic,concept,maintenance,entretien,,, , ,,,,
,,https://ark.frantiq.fr/ark:/26678/pcrtt41bmnx482,lithic,object,negative bulb,contre-bulbe,Bulbusnegativ,, , ,,,,
,,,lithic,concept,operational chain,chaîne opératoire,Operationskette,, , ,,production process,,
,,,lithic,concept,operational scheme,schéma opératoire,Operationsschema,,,,,,,
,,,lithic,concept,pecking,piquetage,,,Procedure of pecking the edge of the striking platform by pounding the overhanging edges. This gesture produces small indentations visible on both sides of that edge.,,,,,
,,https://ark.frantiq.fr/ark:/26678/pcrtfpzqtqr7k2,lithic,object,preform,préforme,,,"In a shaping process, the preform is a product with all functional and morphological features in place, and therefore corresponds to a final sequence in that process.",,,,,
,,,lithic,concept,procedure,procédé,,,,,,,,
,,,lithic,concept,production process,processus de production (chaîne opératoire),,,,,,operational chain,,
,,https://ark.frantiq.fr/ark:/26678/pcrtSy10ihyt5s,lithic,concept,refit,remontage,Zusammenpassung,,,,,,,
ridge,stout2002 hermann2017,,lithic,object,ridge (in shaping process),crête de façonnage,Grat,,,,,,see 'amnyok' in Langda language (Stout 2002).,
rides,inizan1995 inizan1999,,lithic,trace,ripples,rides fines et serrées,Wallnerlinien,,"Concentric waves of variable length and amplitude visible on the ventral face, spreading from the impact point and resulting from the propagation of the fracture front",,,,see Inizan et al (1999: 154),
,,,lithic,object,roughout,ébauche,,,"In a shaping process, the roughout differs from the preform in that the general intent and the functional parts of the product can be inferred, but lacks key morphological features, and therefore corresponds to an earlier sequence in that process.",,,,,
,,,lithic,object,shaping (artefact category),éclats de façonnage,,,Shaping products are flakes resulting from the transform any type of blank into a tool.,,,,,
,,,lithic,concept,shaping (process),façonnage (processus),,,,,,,,
,,,lithic,object,shatter,casson,Truemmer,,,,,,,
siret,inizan1995 inizan1999,https://ark.frantiq.fr/ark:/26678/pcrtp66v9743s7,lithic,trace,Siret,fracture Siret,Siretbruch,,Accidental longitudinal break of the flake originating at the point of impact,,,,see Inizan 1999,
,,,lithic,object,slab,plaquette,Platte,,,,,,,
esquille,inizan1995 inizan1999 pelegrin2005,,lithic,object,splinter,esquille,,,Flake marked by a crushed proximal detached edge and no significant conchoidal bulb. ,,,,,
split_fracture,faivre2010 pelegrin2005,https://ark.frantiq.fr/ark:/26678/pcrtmtmn7g1w1r,lithic,trace,split fracture,fracture en split,,,Kind of fracture that is produced by a vertical (orthogonal) blow away from any platform edge. Unlike the conchoidal fracture it is characterised by a straight fracturation plane without any features of convexity or concavity,,splitfracture_faivre2010_1.png; splitfracture_faivre2010_2.png,,,
,,,lithic,object,transversal convexity (about a core),cintre (d'un nucléus),,,,,,,,
whitening,spry2022,,lithic,trace,whitening,écrasement,,,The crushing (or whitening) corresponds to a loss of matter in the first millimeters of the ventral face around the contact with the hammer.,lithic,object,,,
